x,y,z
1943,2223,1063
2551,1127,791
2655,863,687
2687,695,543
2615,575,463
2535,495,367
2415,431,271
2263,383,199
2111,303,79
1943,359,-7
1799,263,-119
1663,271,-159
1543,295,-215
1399,271,-311
1287,279,-399
1159,263,-447
1055,247,-487
991,215,-583
911,255,-599
847,223,-703
823,247,-743
815,287,-815
735,247,-855
687,311,-887
639,383,-903
751,631,-791
695,527,-855
655,391,-879
703,415,-879
807,423,-879
871,407,-879
855,287,-983
775,31,-1015
711,-303,-1207
671,-119,-1279
727,151,-1391
783,7,-1407
727,-23,-1439
815,-207,-1407
879,-439,-1303
991,-687,-1271
1039,-951,-1231
1127,-943,-1119
1239,-815,-1007
1207,-767,-895
1207,-679,-831
1239,-639,-751
1215,-655,-751
1167,-631,-751
1095,-591,-767
1031,-535,-719
983,-503,-679
959,-415,-679
879,-335,-639
855,-255,-679
831,-183,-615
847,-103,-551
895,-31,-535
887,15,-527
943,111,-567
991,159,-487
1007,135,-511
1023,159,-575
1063,119,-671
1095,95,-783
1143,31,-975
1223,55,-1071
1343,95,-1191
1535,223,-1287
1767,455,-1335
1975,615,-1343
2247,655,-1391
2495,719,-1263
2695,871,-1143
2903,1039,-1023
3126,1247,-863
3334,1439,-751
3382,1543,-647
3446,1719,-583
3374,1855,-519
3334,1935,-479
3286,1951,-479
3254,1919,-447
3182,1975,-351
3054,2023,-231
3062,2127,-119
2919,2199,-23
2847,2159,39
2671,2135,135
2495,1983,159
2295,1871,255
2079,1719,295
1847,1559,359
1631,1383,447
1431,1231,511
1167,1063,583
951,903,591
743,727,591
599,607,639
407,479,647
247,407,631
183,391,663
47,351,623
-23,359,663
-71,383,671
-151,375,719
-151,327,679
-199,295,663
-271,255,647
-319,247,607
-319,231,647
-295,207,631
-255,207,599
-271,215,631
-295,255,567
-279,279,583
-319,303,631
-295,351,631
-311,391,615
-311,495,615
-319,511,583
-319,567,623
-359,599,583
-367,639,583
-375,607,527
-431,631,543
-407,631,503
-439,599,471
-447,575,479
-423,591,447
-447,607,431
-447,599,391
-439,583,375
-463,591,391
-455,559,359
-463,583,311
-447,527,287
-447,535,343
-423,511,327
-351,519,327
-327,535,351
-263,535,327
-239,559,311
-167,583,327
-127,583,319
-79,631,327
-15,615,319
15,607,327
7,631,295
71,615,255
47,671,199
71,735,167
95,823,127
167,719,95
215,831,31
319,1039,-119
471,1095,-191
607,1255,-287
823,1447,-343
1079,1583,-383
1391,1815,-399
1639,1991,-343
1943,2199,-199
2263,2335,-95
2631,2455,-23
2942,2487,0
3190,2391,-55
3350,2271,-151
3398,2079,-231
3422,1855,-335
3430,1687,-399
3382,1495,-455
3326,1303,-455
3238,1119,-447
3094,879,-423
2982,695,-367
2871,511,-351
2663,271,-367
2463,79,-343
2231,-71,-407
1999,-119,-407
1823,-151,-471
1567,-159,-487
1399,-87,-575
1271,0,-607
943,151,-655
719,199,-767
