x,y,z
-1159,-967,-1727
-1311,-207,-1823
-1295,-71,-1759
-1215,23,-1679
-1095,95,-1615
-1023,127,-1511
-895,183,-1375
-799,175,-1271
-687,159,-1183
-583,151,-1047
-471,95,-975
-399,63,-871
-319,0,-847
-255,-95,-791
-223,-143,-671
-191,-191,-663
-183,-263,-623
-143,-279,-623
-103,-319,-623
-95,-391,-599
-95,-383,-583
-79,-391,-583
-55,-391,-551
-39,-415,-591
0,-367,-559
0,-399,-535
0,-375,-535
0,-367,-559
0,-319,-591
-23,-303,-591
-31,-287,-599
-55,-263,-639
-63,-255,-615
-63,-215,-639
-47,-183,-663
-63,-183,-639
-15,-183,-639
-23,-207,-639
23,-183,-647
39,-207,-623
47,-223,-655
87,-207,-639
87,-247,-599
103,-263,-607
103,-255,-591
127,-287,-591
159,-271,-615
167,-303,-671
183,-311,-655
159,-295,-647
183,-279,-679
167,-271,-655
191,-279,-671
167,-255,-671
199,-271,-663
239,-263,-647
239,-263,-623
287,-279,-623
303,-287,-599
335,-263,-591
335,-295,-567
367,-287,-511
367,-327,-495
375,-343,-487
423,-327,-447
423,-359,-455
455,-359,-399
463,-407,-351
503,-407,-343
527,-447,-319
551,-399,-311
567,-463,-303
607,-463,-287
607,-487,-255
655,-455,-215
679,-503,-207
671,-495,-199
719,-495,-175
735,-511,-135
759,-511,-111
759,-519,-111
767,-503,-55
783,-631,0
847,-759,63
895,-799,87
919,-879,159
943,-927,175
1007,-959,231
1143,-903,303
1063,-1223,287
1023,-1279,247
951,-1319,239
895,-1335,199
847,-1271,255
767,-1175,279
575,-1055,351
287,-839,431
-39,-695,447
-503,-479,383
-967,-255,247
-1535,15,71
-2039,311,-271
-2471,559,-615
-2695,703,-1023
-2695,647,-1391
-2663,663,-1719
-2815,823,-2191
-2903,967,-2695
-2807,839,-2950
-2647,767,-2982
-2479,735,-2903
-2335,735,-2791
-2191,751,-2559
-1983,767,-2367
-1711,791,-2119
-1479,767,-2047
-1335,767,-2007
-1295,799,-1999
-1279,895,-1983
-1319,959,-1975
-1327,975,-2007
-1375,1015,-2031
-1367,1079,-1991
-1359,1111,-1991
-1351,1135,-1951
-1303,1151,-1847
-1295,1111,-1815
-1199,1087,-1687
-1135,983,-1535
-1055,951,-1391
-999,831,-1287
-911,767,-1127
-815,687,-1023
-751,599,-895
-695,527,-783
-591,471,-671
-527,367,-535
-431,319,-439
-359,263,-135
-287,191,-311
-223,127,-143
-183,87,-47
-87,47,0
-39,31,151
23,0,223
31,-39,335
55,-55,423
87,-103,511
103,-111,599
119,-135,703
151,-167,767
143,-255,911
191,-335,1023
223,-455,1071
295,-559,1183
447,-695,1295
623,-855,1367
823,-1023,1431
1047,-1191,1447
1375,-1407,1423
1623,-1599,1423
1831,-1711,1383
2071,-1879,1335
2303,-2111,1247
2279,-2183,1103
2527,-2295,1063
2559,-2247,999
2479,-2175,1007
2279,-1935,975
2127,-1847,911
1791,-1607,895
1487,-1431,895
1223,-1279,951
919,-1071,983
591,-903,1063
175,-695,1063
-383,-495,1055
-1007,-255,1023
-1671,0,895
-2423,271,551
-3086,575,79
-3598,791,-471
-3734,791,-1127
-3782,831,-1767
-3486,591,-2431
-3134,207,-2847
-3142,351,-3270
-2927,-55,-3214
-3006,0,-3022
-2815,-151,-2679
-2271,-319,-2319
-1951,-423,-2079
-1655,-551,-1887
-1319,-631,-1743
-1223,-575,-1591
-991,-495,-1567
-895,-351,-1519
-807,-263,-1519
-775,-159,-1487
-767,-47,-1527
-751,55,-1495
