x,y,z
-39,1087,151
0,1095,127
0,1087,143
-23,1111,175
-15,1095,167
-7,1087,175
0,1079,143
0,1111,135
-15,1071,135
0,1119,175
-15,1095,167
-23,1087,159
0,1063,151
-23,1071,135
-15,1111,159
-31,1087,119
-39,1087,111
0,1071,159
-7,1119,111
0,1087,127
0,1087,143
-47,1071,143
-15,1087,151
-23,1087,151
-15,1087,135
0,1087,159
-23,1095,143
-23,1087,151
-15,1095,151
0,1087,167
0,1087,151
0,1087,127
-15,1095,135
0,1087,151
-15,1087,159
-47,1047,143
0,1079,95
0,1079,159
-15,1087,119
0,1095,103
-7,1079,151
0,1047,159
-7,1071,143
0,1087,111
-15,1079,127
0,1103,151
0,1095,151
0,1095,135
0,1071,127
-23,1071,143
0,1095,159
0,1119,151
-31,1095,151
-31,1095,151
0,1079,143
-15,1079,127
0,1087,127
0,1087,151
-31,1103,143
0,1087,135
0,1095,143
15,1079,167
-39,1087,151
-15,1071,159
-15,1095,119
0,1095,143
-7,1087,119
-23,1087,135
-15,1079,127
-23,1079,135
0,1103,151
0,1079,143
-31,1087,127
-31,1071,135
-23,1111,135
0,1095,175
0,1079,175
-7,1103,143
0,1087,159
0,1111,151
-15,1087,127
-31,1087,135
0,1079,135
-31,1087,111
-23,1079,119
-15,1119,135
-39,1111,119
0,1071,127
-7,1095,119
-15,1095,143
-23,1079,103
-23,1063,127
-15,1103,127
-39,1103,143
-23,1095,151
-23,1087,151
-15,1087,127
0,1055,167
0,1079,159
-39,1111,143
-7,1087,151
0,1087,119
0,1079,135
-31,1095,151
-31,1079,127
0,1071,119
-15,1087,135
0,1079,111
0,1103,159
-7,1087,151
-15,1079,143
0,1071,151
-15,1111,159
-39,1119,151
0,1079,151
0,1079,127
-31,1071,159
-23,1111,151
-15,1079,151
-39,1103,151
-23,1071,111
0,1087,111
-39,1095,135
-23,1095,143
-31,1095,159
-23,1079,135
-23,1071,127
-15,1087,127
-15,1071,143
-7,1079,159
-31,1119,159
0,1095,143
-23,1087,119
0,1119,119
0,1111,151
-15,1103,143
15,1103,135
0,1071,151
0,1111,111
0,1087,127
-23,1087,135
0,1095,119
-15,1111,135
-55,1095,175
-23,1071,127
0,1087,151
-23,1079,159
-23,1087,119
-15,1063,159
0,1087,143
0,1063,151
-15,1071,135
-23,1087,135
0,1087,159
-39,1103,127
-23,1095,103
0,1071,135
0,1119,143
-39,1079,135
0,1103,143
-15,1087,127
0,1103,127
-31,1095,119
0,1063,151
0,351,39
151,3070,791
-575,279,255
247,1375,159
-71,255,31
431,1519,151
-167,1031,191
79,1039,103
-87,1087,159
7,1087,151
0,1103,143
-23,1119,151
-63,1111,151
0,1119,111
0,1031,95
-23,1079,167
-23,1095,135
-15,1063,151
-39,1103,143
-31,1063,119
-15,1095,119
-7,1087,119
0,1103,135
-23,1111,135
-23,1119,167
0,1087,127
0,1063,143
-23,1095,95
-15,1071,159
0,1087,143
0,1087,127
-15,1087,159
0,1079,143
-23,1103,143
-39,1095,127
-23,1111,111
-31,1095,167
0,1071,151
-15,1103,135
-15,1087,135
-23,1111,111
-31,1087,127
-23,1087,151
-15,1071,143
-15,1103,159
0,1079,119
-23,1103,127
-23,1079,151
-23,1095,167
0,1119,119
-23,1119,119
-7,1071,111
-31,1055,103
-15,1095,135
0,1079,135
-31,1087,167
-15,1103,159
0,1095,151
