x,y,z
-1119,-303,423
-1087,-247,495
-1039,-247,479
-999,-183,471
-983,-191,527
-975,-159,527
-967,-159,543
-927,-143,583
-903,-111,583
-871,-111,583
-839,-111,575
-855,-95,567
-831,-79,551
-815,-79,591
-791,-63,607
-751,-87,591
-743,-79,599
-759,-103,647
-743,-55,631
-695,-63,631
-735,-7,607
-711,-47,663
-719,-71,639
-727,-79,663
-695,-79,639
-703,-79,695
-679,-127,671
-687,-79,687
-695,-95,687
-679,-87,663
-687,-127,687
-655,-111,679
-679,-151,679
-695,-119,663
-703,-127,639
-679,-127,679
-687,-103,623
-695,-143,623
-695,-127,599
-687,-127,543
-695,-71,567
-687,-127,511
-751,-111,511
-783,-143,519
-847,-143,551
-911,-191,583
-935,-207,607
-927,-231,671
-959,-239,655
-951,-215,687
-975,-223,703
-975,-239,687
-975,-223,671
-951,-215,695
-959,-199,631
-959,-199,631
-983,-239,655
-967,-231,663
-1015,-231,663
-1007,-223,695
-1023,-223,639
-1023,-199,663
-1023,-199,655
-1023,-183,623
-1063,-183,567
-1031,-207,575
-1055,-159,567
-1071,-135,559
-1039,-135,511
-1055,-143,495
-1047,-159,503
-1063,-159,455
-1095,-127,447
-1087,-167,431
-1103,-151,439
-1119,-167,423
-1119,-191,423
-1127,-207,439
-1119,-239,471
-1087,-223,471
-1111,-255,439
-1095,-271,463
-1103,-255,471
-1103,-295,463
-1071,-271,463
-1071,-295,447
-1055,-279,479
-1039,-287,447
-1039,-327,479
-1055,-311,423
-1031,-327,415
-991,-327,423
-1023,-343,375
-1023,-343,383
-1007,-319,383
-1015,-359,367
-959,-367,383
-943,-359,391
-959,-383,351
-943,-375,327
-935,-383,319
-943,-367,375
-927,-359,351
-919,-375,319
-919,-367,287
-895,-327,327
-887,-295,287
-895,-311,311
-887,-311,287
-879,-287,311
-879,-271,255
-871,-255,295
-879,-263,263
-839,-239,279
-823,-223,295
-815,-223,279
-791,-239,0
-815,-191,247
-767,-199,287
-799,-207,287
-775,-175,263
-799,-207,215
-783,-183,255
-783,-207,271
-767,-175,287
-783,-159,279
-799,-167,303
-799,-167,247
-807,-151,319
-815,-143,295
-823,-151,303
-831,-143,327
-847,-135,343
